time_step;cre21;mv_f0_lv_evans_thompson_2;mv_f0_lv_nrcl_dng_hgs;mv_f0_lv_evans_breens;mv_f0_lv_peledora_sunline;mv_f0_lv_pickering_dng_hgs;mv_f0_lv_dng_hgs_hall_2s;mv_f0_lv_missen_thompson;mv_f0_lv_atlas_olympus;mv_f0_lv_aylmer_glasscocks;mv_f0_lv_grandiflora_dng_hgs;mv_f0_lv_thompson_1_dng_hgs;mv_f0_lv_thompson_2_dnong_hgs;mv_f0_lv_dng_hgs_2n_ballarto;mv_f0_lv_thompson_p12_evans;mv_f0_lv_davis_dnong_hgs;mv_f0_lv_hall_p26_dng_hgs;mv_f0_lv_remount_latchford;mv_f0_lv_hall_heatherleigh;mv_f0_lv_kcc_park_dng_hgs;mv_f0_lv_marriott_rayoff;mv_f0_lv_eagle_dng_hgs;mv_f0_lv_dng_hgs_turf;mv_f0_lv_mcnabb_hall;mv_f0_lv_hall_p23_dng_hgs;mv_f0_lv_dng_hgs_2s_ballarto;mv_f0_lv_thompsons_evans;mv_f0_lv_dng_hgs_p3_thompsons;mv_f0_lv_hall_p25_dng_hgs;mv_f0_lv_fintonia_erindale;mv_f0_lv_saltbush_kingfern;mv_f0_lv_thompsons_3w_evans;mv_f0_lv_redpoll_alarah;mv_f0_lv_beechwood_melington;mv_f0_lv_latchford_whitfield;mv_f0_lv_dng_hgs_p4_thompsons;mv_f0_lv_fairhaven_taplan;mv_f0_lv_orion_bacchus;mv_f0_lv_marriott_thompsons;mv_f0_lv_blue_mist_lyndhurst;mv_f0_lv_dng_hgs_p5_thompsons;mv_f0_lv_wentworth_dng_hgs;mv_f0_lv_west_brookwater;mv_f0_lv_dng_hgs_4n_glasscock;mv_f0_lv_ercildoun_alarah;mv_f0_lv_invaders_dnong_hgs;mv_f0_lv_marriott_graegwen;mv_f0_lv_dng_hgs_n735_hall;mv_f0_lv_wentworth_2_dng_hgs;mv_f0_lv_chrysco_flowers_p2;mv_f0_lv_dng_hgs_p17_hall;mv_f0_lv_dng_hgs_p7_thompsons;mv_f0_lv_olida_albida;mv_f0_lv_wentworth_p1_dng_hgs;mv_f0_lv_dng_hgs_p6_thompsons;mv_f0_lv_dnong_hgs_glasscocks;mv_f0_lv_gwen_missens;mv_f0_lv_dng_hgs_nth_p21_hall;mv_f0_lv_dng_hgs_1n_ballarto;mv_f0_lv_dnong_hgs_thompson;mv_f0_lv_tea_tree_castawellan;mv_f0_lv_dng_hgs_p15_wedge;mv_f0_lv_lyndhurst_boland;mv_f0_lv_thompson_1_dnong_hgs;mv_f0_lv_lindwall_everlasting;mv_f0_lv_oldenburg_lamada;mv_f0_lv_dng_hgs_p22_nth_hall;mv_f0_lv_dng_hgs_p2_thompsons;mv_f0_lv_freshwater_mermaid;mv_f0_lv_tetrabine_silverwatt;mv_f0_lv_hall_p20_dng_hgs;mv_f0_lv_dng_hgs_1s_ballarto;mv_f0_lv_dng_hgs_hall;mv_f0_lv_dng_hgs_p18_hall;mv_f0_lv_hall_dng_hasting_1w;mv_f0_lv_fortuna_westernport;mv_f0_lv_one_hayton_park;mv_f0_lv_thompson_missens;mv_f0_lv_dng_hgs_cameron;mv_f0_lv_pegasus_minerva
0;22.04666770886878;12.395492903148694;23.328482769470902;35.41991868232158;22.27290931914637;0.16233004163089265;0.2644058864057653;0.10864391884794981;30.63517777895318;27.875094214908668;2.3627302931610648;32.52698378313749;13.474518685136289;12.17752565303838;20.93624502086714;8.962207625483094;11.191191881407923;1.9422450364902366;9.987340301246437;0.11831537290128125;21.204114554122864;0.16202901264102076;0.1623759990116906;0.16206031586628206;2.3363998519880695;19.360774768010465;34.40722614164953;0.16245551101552802;0.162037104687342;25.542598454077677;28.92012426517211;23.66614298878702;24.36298227714389;21.75372732025146;14.10755234338421;5.434220056932326;51.46440349627582;19.863898440864624;1.8795018976563844;29.59542971197061;0.16243134420654673;0.16206560493003333;2.7863334781383053;9.770428175104678;40.23389718333563;13.617990079208367;21.340612829989364;20.87459120983398;0.16205998289477772;4.871325911701916;39.49767329626724;45.06484309420885;26.12139242464231;0.16205201071790112;0.1624147439164746;11.275499334284788;0.1629895736057776;0.16218340675831416;2.9672578795806395;0.16248483104966194;21.201229655732824;1.7576434896488067;23.10562906049727;0.16249693029965875;29.527235610149948;28.27579845323874;0.16215966557637446;0.16246908144158495;30.257437580440143;24.250995758122937;0.16208972562065713;0.16203469003188295;12.497448370654885;6.864004007577848;11.568068644873335;24.580823413292112;10.027688294822287;22.116799510307136;0.16204767425962213;24.66482495919739
1;20.453256072082873;10.606687363533306;21.740241482585585;37.14083234270079;20.038167077755865;0.16244151268383727;0.2887130565940693;0.10868293013871536;27.61985540680562;26.902931740080156;2.274368998633188;31.58616934031675;12.481225725295058;12.41104726543274;19.083676698677714;8.141442114464978;9.818825803118159;2.332286061148579;4.845740708829814;0.11840257815740739;20.779276437050086;0.1621678730437159;0.16248242784786557;0.1621984444499406;1.3582556205724354;25.245493790413537;33.88702053749479;0.1625554235276519;0.16217894561861343;24.65873622335846;27.249650388347547;17.818048985964484;22.412578190113724;20.740990482736517;14.425136204212594;3.9553712756399255;43.976185626184325;18.189105329337522;2.0175425214400735;28.01894593502731;0.16253391360195418;0.1622033825478003;2.5484188610315543;7.437334226129293;37.60455098699477;11.580065124889714;18.798664515252565;17.74450979544938;0.16219775573200962;4.898488937899315;39.07095703425928;39.9520582838024;25.982117082168767;0.16218977677879057;0.1625186331862214;10.049714806667403;0.16304775598124327;0.16230921382831784;3.0587534291102623;0.16258176524377205;18.646998984612438;1.7140338682743783;22.48234350006365;0.16259309793694338;26.1138483385492;25.707492146734467;0.1622884520165624;0.1625676687318757;29.406435055207368;19.194716463787344;0.16222767076581618;0.16217357996344092;11.696071980385343;6.722849391840791;9.864855027821744;23.75872709868295;9.043933685812512;19.995536669064954;0.16218669813352843;24.014811957532753
2;18.870061504716677;9.998871549827273;21.187057324351894;34.15708217133406;17.761550725548535;0.1625515631699018;0.28864864554179553;0.10872197009541253;25.987607643513023;22.783015113411864;2.3116133286749485;32.69509265804127;13.191779137698859;12.195900520669694;18.809336583140006;8.565389375339425;10.005381828167197;2.0026713884971956;3.997306984825407;0.11848800325483856;19.641259371471573;0.162306114559635;0.16259068919529815;0.16233347346534063;1.15753689737555;20.201707324395432;31.09900328983168;0.1626555306544443;0.1623101829539501;21.746353590940036;24.88411891984432;15.319602751032619;21.338409102375355;19.127546766181744;13.253258854968179;4.556019256080384;40.36988586539153;16.12107182362325;1.878183463699655;26.450790192598213;0.16263643250831364;0.16233957160332046;2.519340983815335;6.961322577547257;35.11554189276631;12.09405963804315;17.49559627575133;16.04203601651504;0.16233394006399826;5.024047462847577;30.85661901952629;42.02355756323005;23.697189358550265;0.16232595441057118;0.16262235137957742;8.75247610252255;0.1631063351969373;0.16243308207377405;2.8687734224964845;0.16267934031808395;17.011270193740664;1.6440821675122712;21.00397747760606;0.16268981011226663;23.989195891862835;21.84272225915699;0.16241505674283804;0.1626665744310865;27.812413581565764;18.28542094626615;0.16235937279457613;0.16231181920337714;11.119775746963953;6.777803535094348;9.924260393517338;21.283216370465922;7.782626456338386;19.48780489634863;0.16232460617749445;21.922391264504977
3;17.623825130062993;9.8789843925533;21.87379875140697;32.58274018191241;16.635719513995493;0.1626379242265199;0.2642818734963808;0.10875162246953296;23.30477397788988;21.664643657670112;2.3008732496250786;31.73179614064518;12.09277203952795;11.769126332438892;17.830056673627034;6.682352166391163;9.804604666475042;1.6221123102585555;4.479897520236423;0.1185538899270272;17.540538311961917;0.16241185818696033;0.1626736925295676;0.16243878405726128;1.4767018551947486;5.540999738396852;33.96525607409423;0.16273317991187014;0.16241258757585128;20.937649864448623;23.645822048148837;14.953243805303067;19.172526135835295;17.869090008832234;12.461847016061366;4.989674924552967;40.56559498284868;16.06109772528706;1.8853754867469807;23.41957007985214;0.16271592923942288;0.1624437862410006;2.3058645643738296;5.513111253669663;31.758983335151953;11.858186332807923;16.9632327258136;14.368552011539022;0.162438151086754;4.898243086436357;24.29896480861511;41.72432617982915;22.748498429365753;0.16243016030644614;0.16270276671512596;7.252102212895291;0.16315092825210006;0.16252879433384476;2.880608249045186;0.16275498302040192;15.99065705401613;1.6327692664154867;19.777376645495988;0.16276485862563478;22.16960313309769;21.763841815655184;0.16251283394166535;0.16274330333081272;26.37785729376792;15.760904259106212;0.16246133658058215;0.16241753835250572;11.639976473233254;7.3757100910891005;10.086306252753873;19.473847018552;6.91501885041396;17.529437106088416;0.16242990203134725;20.91684216449512
4;17.199219502261283;9.629114775535175;22.565651176595626;30.757432343800552;16.54635244344268;0.16267074221408298;0.28248827789995407;0.10876423964289361;22.6304248082957;20.07947837735273;2.2232250067067;31.378479660866372;11.74042274557289;11.405784857948374;19.02398759868807;7.0222862146977105;11.162369637729341;1.671885966246852;4.239305228812378;0.11857845523736833;17.106322568672024;0.1624486776006638;0.16270909577518278;0.16247654315189408;1.063667549427974;6.865655639835754;33.231460737362625;0.16276437395377216;0.1624453165845422;19.836787345891672;23.393998891195306;13.734992418581623;18.406501129306797;16.776375864498153;12.25379083634354;3.950448868202503;39.692236022117605;17.196366857923415;1.8928241141999254;22.41300680273487;0.16274755469917385;0.16248047341967817;2.062721837007064;5.109626044468104;30.9010205326842;11.644143645906674;15.901110070460907;13.317147195285775;0.16247483699262008;4.645151606709976;24.26321245315583;40.52378981443977;22.75616674064712;0.1624668444069143;0.1627346054693142;5.691124271913359;0.16317001240772322;0.16256418121501215;2.8662803598046005;0.1627859280543142;16.280035774967438;1.711746364979318;19.512160880434283;0.16279544355021147;22.62320812151515;22.103342381719575;0.16254867968920128;0.16277428171689595;25.72601440519957;14.447929646403681;0.16249759091261684;0.16245436037379354;11.069244583563881;6.403288000214857;4.680121152578083;19.760157919618013;6.607457434463059;17.711088375187913;0.16246666185539185;21.22064266164198
5;16.972464382875874;9.0038603126347;23.41367775289615;28.228334205605606;16.123625122097177;0.16268566456376649;0.4958778341589168;0.10876945676260558;22.309605278050764;19.702992852729736;3.033145890122882;32.04389180166032;11.011282776768821;11.949298140028922;19.092088585062903;6.504940467241606;9.80062174749508;1.6547268054901094;4.165418870650067;0.11858972854018879;16.196113157666623;0.16246637487740953;0.16272295537829157;0.16249429387456216;1.3029074255550583;6.648184182117959;34.0319977065242;0.16277773934545264;0.16246926581889692;20.336346458951088;22.86341733904785;12.759508562151133;18.531992042592197;15.647209847025481;11.54155553111754;4.485536583855277;40.265879295378966;16.99121865331715;1.8773120767141647;21.978393388068145;0.1627612194657847;0.1624981167777072;1.7760494074367978;5.075561398256764;30.451121446509326;10.962555862373517;15.956403001108695;12.549974711046383;0.16249247973964936;4.675358452981042;29.517016486386975;38.7407868260111;21.41932470793376;0.16248448628569012;0.16274841948026658;5.6554701947976955;0.16317789260483043;0.16258069071566117;2.852526511452933;0.162798941612788;16.058283062133135;1.6003867799540168;19.93147728718083;0.16280838881191556;22.03059266111285;21.895373763651758;0.16256556776426595;0.16278749839090553;24.83832577905207;14.627683949923561;0.1625179677688822;0.16247205785205981;11.121215438161675;6.104270183241357;3.377984753348611;20.110839510885828;6.49144057031262;19.55413985046227;0.16248439523374228;21.633906287500587
6;17.12613346219607;8.506341981719814;24.049978862983448;30.018008618059916;15.45447259620618;0.16267214329793664;0.2642619495002586;0.1087651084973543;21.87631235512535;19.98694449398057;5.041960001729903;31.636587709305964;11.429596374207996;12.018791125775822;20.003760803274478;6.520829549569676;9.995958349576023;1.5833290161542612;4.106269152447441;0.11857871543855013;17.611992305717177;0.16244948717325583;0.16271311326323787;0.16247839016685572;1.116819071434086;7.782175613863114;33.52114689491764;0.16276657224679741;0.1624522332967246;20.63050175835023;22.588788585669477;13.00167138732311;17.2618995049543;15.058936832473904;12.255363365037258;4.7539282009018;40.875462578610765;17.124347393119045;1.8928067160841333;22.542095269021008;0.16274947749183102;0.1624815781771347;1.7135670837488872;3.4340252776814206;31.088770216738617;11.194071718055394;15.85195304302357;12.806162023120091;0.1624759417121311;9.89568402954979;30.587918838106926;33.05011633727635;22.105122005312243;0.16246794907166298;0.1627363915466197;5.478969721480309;0.1631714266150405;0.16256463053633957;5.643460595927382;0.16278862371613564;15.608280642319528;1.6323606405825382;19.24718316098939;0.16279803215891608;21.68495433916314;22.472823360944496;0.16254939070007693;0.16277661804741558;25.156043152555817;15.267128193762083;0.16250140677789077;0.1624551727496379;12.45842721446631;6.1241575085038;3.418365640138616;20.114886458122843;6.60231510470136;19.56810991861085;0.16246767963338252;21.276996097683746
7;17.374928437595077;8.497038681203177;24.36768233471521;25.809554949566994;15.318840985686407;0.16265029686324942;0.2581795739810526;0.10875612864077316;21.894110573453617;21.45908913142412;5.48680763337923;32.5105193666584;11.106873788176918;12.55441209708825;21.235735256779055;6.214478701216115;9.801867164118299;1.6460511826850563;4.4655198636594;0.11856239389953485;17.262264149200124;0.1624261478421555;0.16268711720203907;0.16245296640990306;1.4630125732658472;7.607830968221623;32.251045562160016;0.16274486704271707;0.16242937303387642;19.55733590049272;23.7016646540145;13.393899354575236;18.35471729072445;15.143329157811843;12.506391425311833;3.9507808228829733;40.061657549642575;17.608067930454315;1.859503871295633;24.44754555027825;0.16272771236923697;0.16245808327838834;1.8879753170531446;3.9702098410420126;31.76173678202004;11.08315147465564;16.69904260016439;14.513588206753495;0.162452447628446;4.872531119668754;30.2334923937662;24.408133754121984;22.812768452161425;0.16244445614390987;0.16271459653342138;6.301068273492677;0.16315801732853077;0.16254201643246005;4.998809380456972;0.1627666732513279;16.527387868047764;2.040424467980491;18.53961060530674;0.16277640856216954;22.095330453482934;22.50425695292126;0.16252627079094153;0.16275494187303355;26.368229386900182;16.137592556137996;0.16247811369628062;0.16243183161978983;11.780848788709442;5.814770330865915;2.6948108700222297;19.28900861759532;7.2642743375690735;19.020713177729824;0.16244431865568212;20.031153636357242
8;16.384332181527846;8.06991450291626;24.330659974188823;21.063723081960497;15.061226484789222;0.16270745467437686;0.25814487216173043;0.10877623314380536;21.165791580233382;20.55534900118274;5.107737679337561;31.74569156622026;10.268255432532282;12.411653509041061;19.872676864461162;6.511415299419293;10.9625102672712;1.473984766797475;4.546319178580744;0.11860687648584234;16.26949738830147;0.16249538759843213;0.16274442180449042;0.16252233751839887;1.9962950375394706;6.588553606775613;32.659061748304474;0.162797644331335;0.16249058371664288;19.323223298311895;21.52546241810137;13.020084967711872;17.51646601072033;15.844180487595724;12.211391827561318;4.585448776851734;38.73425131033676;15.336340304428978;1.8770428467759819;23.10992487716884;0.16278156777738567;0.16252667261314524;1.6790589093060508;3.8346893394159074;28.463653158985956;11.027363987054114;15.444079069870364;13.989197226437797;0.16252103458305003;4.624739537039689;30.095006319969887;25.016897904557638;21.087379528628407;0.16251303972532094;0.16276898804718146;6.266754916389446;0.1631879672043236;0.16260530092401346;2.865483493184873;0.16281838534976117;14.582789778034686;2.071588758011559;16.92876315294908;0.16282766913135438;20.775386470951098;21.232947493781573;0.1625907399849479;0.16280718239622669;24.505489307497612;15.163627936644891;0.162542568523242;0.16250107300705627;11.677482315515967;4.908843974582407;2.9413649905280796;19.357385362535233;6.664191779197141;17.54939010100522;0.1625135188340379;18.134838381739318
9;15.694363116692267;8.382862521466798;23.2929747159978;21.235515496750516;14.213422764211858;0.16275174832319395;0.2520638853158202;0.10879123398334423;19.964274943529382;19.820556287556958;5.502467071237951;32.37076621159945;10.589284941544754;12.981307920092064;19.114614606318728;6.332493207526449;9.793660123466132;1.6402596866873307;4.579561208828623;0.11864116053872736;14.56908407941472;0.1625512034723124;0.16278625590529952;0.16257708880510408;1.8622529491437383;6.7645866098743275;29.701132092275607;0.1628375656464744;0.16254996822540083;18.624229750276353;21.136298053533167;13.261875531754763;16.025186122293196;15.008167192968685;11.828576859783393;3.8150990669603675;38.54840742283839;14.388982772320785;1.8434317950262378;19.931494175665573;0.162822499431553;0.16258161098489288;1.6959050252650578;3.733218646835855;28.630637737587705;11.033759791806466;15.718854499992357;12.929387488647711;0.16257597104889546;4.660172353639734;30.372679608980995;27.24221579320559;18.221140707503796;0.16256797348817897;0.16281042139720253;6.351889288834471;0.16321051397361486;0.16265530942638837;2.878058982739233;0.1628571313034531;14.650104528064533;2.097621692913753;15.666896144821038;0.16286616599527987;20.421808393836393;19.68965585821675;0.1626419238117563;0.1628465996216275;24.257656514371504;15.397005203259202;0.16259880494600545;0.16255688840399485;11.911462024830383;5.0919424825864885;1.3350476096530977;17.86349798841264;5.899499270931301;18.5224918199066;0.162569150780885;17.685413321260924
